position_mm,potential_mv_at_reference_drive
6.967103310000074146e+01,4.089715439846616896e+00
6.969590000000074781e+01,4.091650983543344111e+00
6.969790000000074315e+01,4.091806655838380991e+00
6.969990000000073849e+01,4.091962328133416982e+00
6.972476690000074484e+01,4.093897871830144197e+00
6.983328650000075299e+01,4.102829248411939744e+00
7.000359190000074250e+01,4.118575906286028321e+00
7.017389730000073200e+01,4.134842856907849473e+00
7.034420270000073572e+01,4.151435241438358403e+00
7.051450810000073943e+01,4.168344953811089049e+00
7.068481350000072894e+01,4.185571994077035285e+00
7.079333310000072288e+01,4.196672105518526763e+00
7.081820000000072923e+01,4.199256732007574655e+00
7.082020000000073878e+01,4.199465818964603692e+00
7.082220000000073412e+01,4.199674905921631840e+00
7.084706690000072626e+01,4.202274578147492612e+00
7.095558650000073442e+01,4.213619594618449149e+00
7.112589190000073813e+01,4.231708024050560013e+00
7.129619730000072764e+01,4.250113781336573027e+00
7.146650270000071714e+01,4.268836866477283110e+00
7.163680810000072086e+01,4.287690961872645978e+00
7.180711350000072457e+01,4.306190545055173402e+00
7.191563310000071851e+01,4.318270349473691816e+00
7.194050000000072487e+01,4.321038395877244476e+00
7.194250000000072021e+01,4.321261024866265288e+00
7.194450000000071554e+01,4.321483653855286988e+00
7.196936690000072190e+01,4.324251700258839648e+00
7.207788650000071584e+01,4.336804912297726133e+00
7.224819190000071956e+01,4.357090436221792373e+00
7.241849730000072327e+01,4.378230616964313704e+00
7.258880270000071278e+01,4.400293513529367040e+00
7.275910810000070228e+01,4.423323496729016036e+00
7.292941350000070599e+01,4.447208136640727005e+00
7.303793310000071415e+01,4.462816509536048137e+00
7.306280000000070629e+01,4.466491427872857578e+00
7.306480000000070163e+01,4.466786994938861888e+00
7.306680000000071118e+01,4.467082562004867086e+00
7.309166690000071753e+01,4.470757480341679191e+00
7.320018650000071148e+01,4.486796023808925504e+00
7.337049190000070098e+01,4.512999503192113515e+00
7.354079730000070469e+01,4.540058772995864800e+00
7.371110270000070841e+01,4.567972699526340108e+00
7.388140810000069791e+01,4.596741282793627370e+00
7.405171350000070163e+01,4.626364522854736983e+00
7.416023310000069557e+01,4.645699937310880934e+00
7.418510000000070193e+01,4.650130582261098766e+00
7.418710000000069726e+01,4.650486931058110507e+00
7.418910000000069260e+01,4.650843279855122248e+00
7.421396690000069896e+01,4.655409453247864704e+00
7.432248650000069290e+01,4.675797892524878208e+00
7.449279190000069661e+01,4.708394199169092964e+00
7.466309730000068612e+01,4.741846014910659157e+00
7.483340270000068983e+01,4.776087979439823883e+00
7.500370810000069355e+01,4.811120092648240032e+00
7.517401350000068305e+01,4.847088383230835795e+00
7.528253310000067700e+01,4.870471375750214271e+00
7.530740000000068335e+01,4.875862971514051125e+00
7.530940000000069290e+01,4.876296607855039156e+00
7.531140000000068824e+01,4.876730244196024522e+00
7.533626690000068038e+01,4.882121839959857823e+00
7.544478650000068853e+01,4.906190764725313791e+00
7.561509190000069225e+01,4.945366337699473647e+00
7.578539730000068175e+01,4.986570303942934324e+00
7.595570270000067126e+01,5.028859958803431951e+00
7.612600810000067497e+01,5.071869028296421611e+00
7.629631350000067869e+01,5.116521105749463061e+00
7.640483310000067263e+01,5.145721294710055460e+00
7.642970000000067898e+01,5.152656289908300380e+00
7.643170000000067432e+01,5.153214059087267707e+00
7.643370000000066966e+01,5.153771828266234145e+00
7.645856690000067601e+01,5.160706823464479065e+00
7.656708650000066996e+01,5.190971267561458546e+00
7.673739190000067367e+01,5.239653824627603207e+00
7.690769730000067739e+01,5.288864568782314812e+00
7.707800270000066689e+01,5.339031091344905278e+00
7.724830810000065640e+01,5.390930497669720545e+00
7.741861350000066011e+01,5.445070035663112762e+00
7.752713310000066826e+01,5.481107982818819835e+00
7.755200000000066041e+01,5.489365956752799036e+00
7.755400000000065575e+01,5.490030130729769198e+00
7.755600000000066530e+01,5.490694304706744688e+00
7.758086690000067165e+01,5.498952278640729219e+00
7.768938650000066559e+01,5.536414281012466354e+00
7.785969190000065510e+01,5.596015376144240605e+00
7.802999730000065881e+01,5.656647263946716464e+00
7.820030270000066253e+01,5.719230111407027195e+00
7.837060810000065203e+01,5.784279521411776592e+00
7.854091350000064153e+01,5.851373439892627815e+00
7.864943310000064969e+01,5.895115035133347448e+00
7.867430000000064183e+01,5.905334717691451907e+00
7.867630000000065138e+01,5.906156668361472128e+00
7.867830000000064672e+01,5.906978619031485245e+00
7.870316690000065307e+01,5.917198301589595921e+00
7.881168650000064702e+01,5.961966739526853409e+00
7.898199190000065073e+01,6.034429012746405085e+00
7.915229730000064023e+01,6.109100961557708764e+00
7.932260270000064395e+01,6.185813026983250751e+00
7.949290810000064766e+01,6.264291548258035469e+00
7.966321350000063717e+01,6.346192300360259608e+00
7.977173310000063111e+01,6.401108131133035783e+00
7.979660000000063746e+01,6.413691908369995254e+00
7.979860000000064701e+01,6.414703998919039307e+00
7.980060000000064235e+01,6.415728532712072330e+00
7.982546690000063450e+01,6.428828018121978793e+00
7.993398650000064265e+01,6.485994408660785027e+00
8.010429190000063215e+01,6.577871453612676333e+00
8.027459730000063587e+01,6.672664589457649065e+00
8.044490270000062537e+01,6.770373816151022517e+00
8.061520810000062909e+01,6.870921407150303750e+00
8.078551350000063280e+01,6.973892840297107654e+00
